eq_class,members,representative,model,chains,molecule,nts
42467.1,4,6XU8,1,A7,Protein-RNA Complex,120
39170.1,4,7PNV,1,A,Protein-RNA Complex,947
23650.1,4,2A0P,1,A+B,Solo RNA,14
68486.1,4,6JCY,1,I,Protein-RNA Complex,6
09398.1,4,7UO5,1,B,Protein-RNA Complex,373
69729.1,4,8HKU,1,A5S,Protein-RNA Complex,122
15429.1,4,7OLC,1,3,Protein-RNA Complex,119
50890.1,4,3JXQ,1,L+K,Solo RNA,10
17726.3,4,6XUS,1,A,Solo RNA,12
95171.1,4,3MJA,1,B,Solo RNA,29
33389.1,4,2DU3,1,D,Protein-RNA Complex,71
44976.1,4,2MFE,1,D,Protein-RNA Complex,22
29032.1,4,7B3D,1,T+P,Protein-RNA Complex,22
91665.5,4,4QCL,1,B,Protein-RNA Complex,11
57348.1,4,1GAX,1,D,Protein-RNA Complex,75
95734.1,4,4B3R,1,Z+W,Protein-RNA Complex,19
61171.1,4,6GSK,1,3L,Protein-RNA Complex,72
70886.1,4,7XG0,1,I,Protein-RNA Complex,60
99363.1,4,1SA9,1,C+D,Solo RNA,16
84195.1,4,5ZSB,1,C,Protein-RNA Complex,4
28129.3,4,8AZW,1,A+B,Protein-RNA Complex,3224
08591.1,4,6XU8,1,A5+A8,Protein-RNA Complex,3826
79254.1,4,3KFU,1,L,Protein-RNA Complex,71
06706.1,4,2JYH,1,B,Solo RNA,43
55964.1,4,5D5L,1,A,Solo RNA,76
00196.1,4,7VNV,1,A,Solo RNA,61
75428.1,4,7BPG,1,G,Solo RNA,6
46052.1,4,6QIC,1,F,Protein-RNA Complex,10
80888.1,4,1MUV,1,A+B,Solo RNA,18
40559.1,4,4PEH,1,W,Protein-RNA Complex,2
42653.1,4,5T16,1,H,Protein-RNA Complex,33
58761.1,4,2CSX,1,C,Protein-RNA Complex,75
19728.1,4,7RGU,1,F,Protein-RNA Complex,28
09715.1,4,5NS3,1,C,Protein-RNA Complex,32
10203.1,4,2GIC,1,R,Protein-RNA Complex,45
17139.1,4,2KUU,1,A,Solo RNA,48
41309.1,4,6GE1,1,A,Solo RNA,7
83027.1,4,3NPQ,1,A,Solo RNA,51
09810.1,4,4JRD,1,B,Solo RNA,11
07795.1,4,7D7W,1,A,Solo RNA,51
65635.3,4,7PO2,1,5,Protein-RNA Complex,70
73988.1,4,5L2L,1,D,Protein-RNA Complex,12
45428.1,4,7OZQ,1,H,Protein-RNA Complex,32
40155.1,4,5AMR,1,B+C,Protein-RNA Complex,24
87746.1,4,4IQS,1,E,Solo RNA,7
73703.1,4,6R6P,1,2,Protein-RNA Complex,76
28334.1,4,1KNZ,1,W,Protein-RNA Complex,5
28126.1,4,7WV5,1,E,Protein-RNA Complex,46
33534.2,4,7BKP,1,X+Z,Protein-RNA Complex,28
22038.1,4,7BAH,1,C+D,Protein-RNA Complex,24
93427.1,4,5UD5,1,C,Protein-RNA Complex,70
42813.3,4,6YXY,1,AA,Protein-RNA Complex,903
31091.1,4,4K50,1,B,Protein-RNA Complex,32
83745.1,4,5T3K,1,A+B,Solo RNA,32
54657.1,4,2O3Y,1,A+B,Solo RNA,43
62666.1,4,7QCA,1,S60,Protein-RNA Complex,1354
23849.1,4,7ACJ,1,4,Protein-RNA Complex,360
26483.1,4,3J7Q,1,5+8,Protein-RNA Complex,3818
12494.1,4,6CFJ,1,1x,Protein-RNA Complex,72
59870.1,4,3S49,1,E+F,Solo RNA,14
11108.1,4,8SX6,1,B+A,Solo RNA,20
27894.1,4,8HKU,1,A23S,Protein-RNA Complex,2995
51105.1,4,7CPU,1,S2,Protein-RNA Complex,1656
58324.1,4,6I3P,1,F,Protein-RNA Complex,9
27566.1,4,5WS2,1,D,Protein-RNA Complex,5
41959.1,4,3P22,1,A,Solo RNA,39
22479.1,4,3D0U,1,A,Solo RNA,161
66896.1,4,5NDI,1,B,Solo RNA,19
19931.1,4,7CPU,1,S6,Protein-RNA Complex,75
49553.1,4,3CUL,1,C,Protein-RNA Complex,91
39150.1,4,2CZJ,1,H,Protein-RNA Complex,60
48777.2,4,4NKU,1,D,Protein-RNA Complex,2
95559.1,4,1R9F,1,C,Protein-RNA Complex,19
56610.1,4,4Y52,1,R,Protein-RNA Complex,9
24746.1,4,1YYW,1,I+J,Protein-RNA Complex,24
94840.1,4,404D,1,A,DNA-RNA Hybrid,10
87323.1,4,7S36,1,R,Protein-RNA Complex,87
81496.1,4,5Y85,1,D,DNA-RNA Hybrid,50
30893.1,4,3EP2,1,B,Protein-RNA Complex,0
28256.1,4,3J0O,1,7,Protein-RNA Complex,50
11808.1,4,3J0O,1,2,Protein-RNA Complex,112
59612.1,4,2DB3,1,E,Protein-RNA Complex,5
99773.1,4,1R9F,1,B,Protein-RNA Complex,19
65349.1,4,3J0O,1,a,Protein-RNA Complex,48
59615.1,4,3J0O,1,h,Protein-RNA Complex,111
77294.1,4,5NDH,1,A,Solo RNA,15
95596.1,4,8H1B,1,C,Protein-RNA Complex,17
12865.1,4,5ZSE,1,C,Protein-RNA Complex,5
67439.2,4,4PQU,1,T,Protein-RNA Complex,21
58198.1,4,2R1S,1,A+B,Solo RNA,24
64844.1,4,3H5X,1,T+P,Protein-RNA Complex,16
31480.1,4,4YAZ,1,R,Solo RNA,83
25369.1,4,3NJ7,1,C+D,Solo RNA,20
52299.1,4,6K0B,1,X,Protein-RNA Complex,258
93599.1,4,5UDZ,1,W,Protein-RNA Complex,23
59504.1,4,1HVU,1,I,Protein-RNA Complex,30
26321.3,4,4QOZ,1,A,Protein-RNA Complex,26
55114.1,4,5B63,1,D,Protein-RNA Complex,64
56345.1,4,5SWD,1,B,Solo RNA,68
51748.1,4,3I62,1,B,Protein-RNA Complex,10
42832.1,4,4V8P,1,C3,Protein-RNA Complex,120
88210.1,4,6UES,1,A,Solo RNA,119
13728.1,4,4V8P,1,D1+C2,Protein-RNA Complex,3273
23520.1,4,6IP8,1,zy,Protein-RNA Complex,75
73795.1,4,4WJ3,1,S,Protein-RNA Complex,76
11911.1,4,6N9U,1,P,Protein-RNA Complex,5
56532.1,4,7DLZ,1,X,Protein-RNA Complex,45
30944.4,4,1U6B,1,B,Protein-RNA Complex,195
83999.1,4,5JU8,1,AY,Protein-RNA Complex,65
71335.1,4,5ZWM,1,B,Protein-RNA Complex,175
75816.1,4,5VPP,1,QV,Protein-RNA Complex,77
08043.1,4,6Z6B,1,UUU,Protein-RNA Complex,10
28277.1,4,7D6Z,1,3,Protein-RNA Complex,70
62824.1,4,3J7O,1,7,Protein-RNA Complex,120
08470.1,4,5MRC,1,A,Protein-RNA Complex,2709
17333.1,4,4V6D,1,CV,Protein-RNA Complex,17
40788.1,4,6T7T,1,6,Protein-RNA Complex,76
84961.1,4,4PJO,1,1,Protein-RNA Complex,47
80768.1,4,6AR1,1,C,Protein-RNA Complex,14
72172.1,4,5CCB,1,N,Protein-RNA Complex,78
20951.1,4,6U8D,1,A,Protein-RNA Complex,68
19645.1,4,4QI2,1,G,Protein-RNA Complex,19
49730.1,4,4X4V,1,B,Protein-RNA Complex,34
45705.1,4,6YW5,1,aa,Protein-RNA Complex,1435
72182.1,4,4AM3,1,E,Protein-RNA Complex,9
65561.1,4,6GSK,1,1K,Protein-RNA Complex,70
06496.1,4,5E6M,1,C,Protein-RNA Complex,73
24366.1,4,6R5Q,1,3,Protein-RNA Complex,75
32986.2,4,6OW3,1,I,Protein-RNA Complex,3
34681.1,4,5THE,1,H,Protein-RNA Complex,7
98374.1,4,2I82,1,F,Protein-RNA Complex,21
35127.1,4,6X5M,1,r,Protein-RNA Complex,39
76114.1,4,3RKF,1,C,Solo RNA,67
24985.1,4,6TQA,1,G,Protein-RNA Complex,20
24974.1,4,1DUQ,1,B+A,Solo RNA,26
08138.1,4,5F0Q,1,C,Protein-RNA Complex,5
46720.2,4,5DDP,1,A,Protein-RNA Complex,61
56855.1,4,3KNA,1,B+C,Protein-RNA Complex,12
02841.1,4,7ECN,1,A+B,Solo RNA,24
18961.1,4,1WMQ,1,D,Protein-RNA Complex,7
72196.1,4,7KKV,1,B,Protein-RNA Complex,59
81653.1,4,1J6S,1,A,Solo RNA,5
36960.1,3,2KOC,1,A,Solo RNA,14
47436.1,3,8HKX,1,A16S,Protein-RNA Complex,1491
05489.1,3,3EP2,1,A,Protein-RNA Complex,0
64006.2,3,7C79,1,A,Protein-RNA Complex,331
27485.1,3,7W0E,1,C+D,Protein-RNA Complex,104
94195.1,3,6XLW,1,B,Protein-RNA Complex,7
61174.1,3,1H2C,1,R,Protein-RNA Complex,3
73551.1,3,1SDS,1,D,Protein-RNA Complex,15
70091.1,3,8HNT,1,B,Protein-RNA Complex,102
47162.1,3,3PDR,1,X,Solo RNA,161
53884.1,3,3O7V,1,A,Protein-RNA Complex,13
15678.1,3,3EP2,1,E,Protein-RNA Complex,0
82070.1,3,1NTS,1,A,Solo RNA,9
85566.1,3,4GV6,1,C+B,Protein-RNA Complex,7
79699.1,3,6KQD,1,I,Protein-RNA Complex,3
18808.1,3,6A5L,1,P,Protein-RNA Complex,11
57460.4,3,6GYV,1,A,Solo RNA,192
26197.1,3,6SKG,1,BB,Protein-RNA Complex,125
15214.1,3,8CLM,1,A,Solo RNA,9
41208.1,3,7F3J,1,B,Protein-RNA Complex,4
34462.1,3,2LUP,11,A,Protein-RNA Complex,32
22602.1,3,4QU7,1,X,Protein-RNA Complex,3
74887.1,3,3EP2,1,C,Protein-RNA Complex,0
76789.1,3,3J0P,1,W,Protein-RNA Complex,77
58433.1,3,3ER8,1,F,Protein-RNA Complex,3
77647.2,3,8A22,1,A7+A6,Protein-RNA Complex,643
47353.1,3,7XPG,1,D,Protein-RNA Complex,2
27092.1,3,7UZX,1,G+L,Protein-RNA Complex,36
94132.2,3,7UWS,1,H,Protein-RNA Complex,68
07053.1,3,3JBN,1,A,Protein-RNA Complex,1608
81724.1,3,3Q0N,1,D,Protein-RNA Complex,7
62241.1,3,8BE0,1,V,Protein-RNA Complex,12
15400.1,3,4V49,1,AA,Protein-RNA Complex,1527
55002.1,3,6TH6,1,BA,Protein-RNA Complex,2877
52030.1,3,6H9H,1,D,Protein-RNA Complex,22
65220.1,3,6A6J,1,D,Protein-RNA Complex,4
40560.1,3,3OIN,1,C,Protein-RNA Complex,14
65741.1,3,7TR6,1,R,Protein-RNA Complex,45
79353.1,3,6NEQ,1,A,Protein-RNA Complex,952
14903.1,3,4Z7L,1,I,Protein-RNA Complex,14
46712.1,3,7THB,1,E,DNA-RNA Hybrid,7
39458.1,3,6E8T,1,A,Solo RNA,36
25652.1,3,5MRC,1,bb,Protein-RNA Complex,76
32272.1,3,1HG9,1,B,DNA-RNA Hybrid,9
22325.1,3,5F9R,1,A,Protein-RNA Complex,115
15683.2,3,6MCB,1,B,Protein-RNA Complex,115
31948.1,3,2LB4,1,B,DNA-RNA Hybrid,9
83451.1,3,7Y7R,1,D,Protein-RNA Complex,7
03598.2,3,2LPT,1,A,Solo RNA,34
86032.1,3,8G4W,1,R,Protein-RNA Complex,47
31125.1,3,7UWE,1,R,Protein-RNA Complex,10
48702.2,3,6GC5,1,E,Protein-RNA Complex,5
54128.1,3,3Q0R,1,B,Protein-RNA Complex,8
74407.1,3,5XH7,1,B,Protein-RNA Complex,39
26536.2,3,7SFR,1,B,Protein-RNA Complex,115
11738.2,3,8A22,1,A8,Protein-RNA Complex,350
19534.1,3,6YAL,1,1,Protein-RNA Complex,74
36913.1,3,8HBA,1,B,Solo RNA,50
45159.1,3,4J50,1,A+B,Solo RNA,38
25361.2,3,4E48,1,A+B,Solo RNA,40
39444.1,3,7YCX,1,c,Protein-RNA Complex,23
53105.1,3,4UYK,1,R,Protein-RNA Complex,133
73115.1,3,4HT9,1,D,Protein-RNA Complex,7
40394.1,3,7Z26,1,E,Protein-RNA Complex,2
41342.1,3,1I9F,5,A,Protein-RNA Complex,34
68171.1,3,3R1C,1,E+F,Solo RNA,16
37691.1,3,8FCJ,1,M,Protein-RNA Complex,63
23049.1,3,1KUQ,1,B,Protein-RNA Complex,60
07561.2,3,6ZQD,1,D4+D2,Protein-RNA Complex,304
96438.2,3,7ZJX,1,I,Protein-RNA Complex,163
27096.1,3,4WFL,1,A,Solo RNA,105
32613.1,3,7O7Y,1,AI,Protein-RNA Complex,76
03715.1,3,1QU2,1,T,Protein-RNA Complex,75
21270.1,3,8FF5,1,M,Protein-RNA Complex,63
47926.1,3,7OIF,1,z,Protein-RNA Complex,86
51587.2,3,5BKN,1,T+i,Protein-RNA Complex,10
31352.3,3,2LAC,1,A,Solo RNA,17
48307.1,3,1YMO,11,A,Solo RNA,47
59327.1,3,6M0X,1,B,Protein-RNA Complex,70
86458.1,3,8F3C,1,R,Protein-RNA Complex,47
54515.1,3,7LD5,1,D,Protein-RNA Complex,4
30619.2,3,2KXM,1,A,Solo RNA,27
77810.2,3,6D1V,1,C,Protein-RNA Complex,1
67137.1,3,6P7M,1,B,Protein-RNA Complex,25
72694.2,3,7PZY,1,10,Protein-RNA Complex,16
19218.1,3,2NVT,1,R,Protein-RNA Complex,10
83043.1,3,5ZEB,1,B,Protein-RNA Complex,117
73223.1,3,8C4U,1,H+T,Protein-RNA Complex,38
76503.1,3,7UOB,1,T+P,Protein-RNA Complex,69
96572.1,3,1UVL,1,B,Protein-RNA Complex,5
83665.1,3,5Y58,1,X,Protein-RNA Complex,30
70098.1,3,5DE8,1,A,Protein-RNA Complex,35
75510.1,3,6UTV,1,333,Protein-RNA Complex,5
98794.1,3,8BE0,1,M+R,Protein-RNA Complex,29
02622.1,3,4GHA,1,I+J,Protein-RNA Complex,24
25771.1,3,5D0A,1,F,Protein-RNA Complex,13
58167.1,3,3E5C,1,A,Solo RNA,52
86183.1,3,6KL9,1,G,Protein-RNA Complex,25
81896.1,3,3GLP,1,B+A,Solo RNA,20
14254.1,3,7LJ3,1,A,Protein-RNA Complex,75
78605.1,3,5JJI,1,G,Protein-RNA Complex,7
29524.1,3,2J0S,1,E,Protein-RNA Complex,6
84582.2,3,8FJL,1,a2+b2,Protein-RNA Complex,120
30254.1,3,7KVU,1,G,Solo RNA,82
56686.2,3,8A22,1,A3+A2,Protein-RNA Complex,288
38557.2,3,8A22,1,A1,Protein-RNA Complex,109
29415.1,3,6BSG,1,R,Protein-RNA Complex,24
51454.1,3,6NOD,1,E,Protein-RNA Complex,8
60469.1,3,4N0T,1,B,Protein-RNA Complex,65
16758.1,3,5F5F,1,B,Protein-RNA Complex,20
36650.1,3,7XWZ,1,C+D,Protein-RNA Complex,14
52295.1,3,2ET8,1,A+B,Solo RNA,42
67969.2,3,8A22,1,B3+B2+B1,Protein-RNA Complex,685
13732.1,3,7UTN,1,C,Protein-RNA Complex,184
90416.1,3,6AZ1,1,1,Protein-RNA Complex,1724
31949.1,3,1UVN,1,F,Protein-RNA Complex,4
73563.1,3,8ID2,1,C,Protein-RNA Complex,24
33558.1,3,4PCO,1,A+B,Solo RNA,20
69984.2,3,6AZ3,1,8,Protein-RNA Complex,118
42126.1,3,2B3J,1,E,Protein-RNA Complex,14
81635.1,3,1UVJ,1,F,Protein-RNA Complex,4
02963.1,3,5DEA,1,C,Protein-RNA Complex,35
35045.1,3,4V6N,1,BB,Protein-RNA Complex,67
37008.1,3,4PLX,1,A,Solo RNA,74
54107.1,3,5ED1,1,C+B,Protein-RNA Complex,45
95458.1,3,7OL0,1,P,Protein-RNA Complex,13
36683.2,3,6AZ3,1,1+7,Protein-RNA Complex,1754
40909.2,3,8A22,1,B4,Protein-RNA Complex,332
65403.1,3,6IV9,1,B,Protein-RNA Complex,50
81926.1,3,4YLP,1,6,Protein-RNA Complex,4
96162.2,3,7EL1,1,B,Protein-RNA Complex,72
57688.1,3,409D,1,C+D,Solo RNA,16
88706.1,3,4JAH,1,A+B,Solo RNA,14
79612.1,3,1UVI,1,D,Protein-RNA Complex,4
43040.2,3,8A22,1,A5+A4,Protein-RNA Complex,209
10702.1,3,8E8M,1,R,Protein-RNA Complex,33
67358.1,3,7P9I,1,E,Protein-RNA Complex,2
12051.2,3,8A22,1,A9,Protein-RNA Complex,69
36012.1,3,7ECO,1,E+F,Solo RNA,24
08416.1,3,1QBP,1,A+B,Solo RNA,24
70012.1,3,8D71,1,B,Protein-RNA Complex,10
44791.1,3,7QR0,1,A,Protein-RNA Complex,81
83957.1,3,8I3Z,1,B+A,Solo RNA,54
95409.1,3,1UVM,1,D,Protein-RNA Complex,5
34948.1,3,6J51,1,P,Protein-RNA Complex,16
92727.1,3,3K49,1,F,Protein-RNA Complex,10
66740.1,3,3T5N,1,C,Protein-RNA Complex,6
39625.1,3,3Q1Q,1,B,Protein-RNA Complex,347
20180.1,3,4BBS,1,P,Protein-RNA Complex,6
97263.1,3,5GAN,1,U,Protein-RNA Complex,141
18903.1,3,6CHR,1,A,Solo RNA,620
05707.1,3,4QJH,1,F,Solo RNA,47
62396.2,3,6ZQC,1,D2,Protein-RNA Complex,446
31816.1,3,7AJU,1,EA,Protein-RNA Complex,22
21999.1,3,6IR9,1,P,Protein-RNA Complex,16
23929.3,3,5W5Y,1,R,Protein-RNA Complex,6
09148.1,3,4GZY,1,R,Protein-RNA Complex,9
04437.1,3,6KUR,1,V+R,Protein-RNA Complex,28
33615.1,3,6KLH,1,B,Protein-RNA Complex,7
47665.1,3,2JA7,1,3,Protein-RNA Complex,10
68707.1,3,7C06,1,X,Protein-RNA Complex,5
10541.1,3,3S1Q,1,R,Protein-RNA Complex,5
75279.1,3,7ELC,1,C,Protein-RNA Complex,7
32990.2,3,6HD7,1,B,Protein-RNA Complex,77
22024.1,3,7RIP,1,R,Protein-RNA Complex,10
81784.2,3,4S20,1,P,Protein-RNA Complex,9
52787.1,3,6NTA,1,XV+XX,Protein-RNA Complex,26
33922.2,3,4R4V,1,A,Solo RNA,185
76892.2,3,5LZD,1,y,Protein-RNA Complex,91
34877.1,3,6VWL,1,4,Protein-RNA Complex,43
06376.1,3,3K4E,1,F,Protein-RNA Complex,10
82856.2,3,4A3D,1,P,Protein-RNA Complex,6
30486.2,3,6OKK,1,g,Protein-RNA Complex,74
38581.2,3,6C66,1,J,Protein-RNA Complex,59
04414.1,3,6TW1,1,V+M,Protein-RNA Complex,43
45098.2,3,7B5K,1,x,Protein-RNA Complex,77
20814.1,3,3SUX,1,X,Solo RNA,100
16422.1,3,1SAQ,1,A+B,Solo RNA,16
84294.1,3,6BM2,1,R,Protein-RNA Complex,9
08107.1,3,4BOC,1,R,Protein-RNA Complex,9
63567.1,3,4RZD,1,A,Solo RNA,98
09823.1,3,7AOZ,1,P,Protein-RNA Complex,5
03921.1,3,6ZDU,1,C,Protein-RNA Complex,65
04792.1,3,7KJV,1,C+D,Protein-RNA Complex,43
42222.1,3,5K7D,1,A,DNA-RNA Hybrid,47
18396.1,3,3ZC0,1,M,Protein-RNA Complex,26
83080.1,3,2QWY,1,C,Solo RNA,52
27778.1,3,5WT1,1,C,Protein-RNA Complex,67
70509.2,3,7OOP,1,P,Protein-RNA Complex,21
01258.2,3,6AZ3,1,4,Protein-RNA Complex,182
09443.2,3,4K4S,1,B+F+C+G+D+H,Protein-RNA Complex,67
24114.1,3,6NOH,1,B,Protein-RNA Complex,7
85536.1,3,5W1H,1,B,Protein-RNA Complex,41
87893.1,3,1IHA,1,A+B,Solo RNA,16
90160.4,3,5B2P,1,B,Protein-RNA Complex,93
07962.1,3,7LNE,1,A+B,Solo RNA,18
37735.1,3,1L2X,1,A,Solo RNA,31
55368.1,2,4GMA,1,Z,Solo RNA,192
20257.1,2,7T1N,7,A,Protein-RNA Complex,56
04798.1,2,8DZK,1,N,Protein-RNA Complex,3
73700.1,2,6AAS,1,A,Solo RNA,28
40252.1,2,2QUS,1,A,Solo RNA,68
64698.1,2,8I45,1,A,Solo RNA,19
13991.1,2,8I43,1,A,Solo RNA,19
53230.1,2,7NEJ,1,B,DNA-RNA Hybrid,8
73483.1,2,1T1M,1,A,Protein-RNA Complex,0
53681.1,2,8HF1,1,K+J,Protein-RNA Complex,20
46639.1,2,8C5U,1,C,Protein-RNA Complex,7
91235.1,2,4D61,1,j,Protein-RNA Complex,201
20405.1,2,2U2A,1,A,Solo RNA,20
51224.1,2,8J7R,1,C,Protein-RNA Complex,97
14390.1,2,8GZP,1,S,Protein-RNA Complex,67
83437.1,2,8SA6,1,A,Solo RNA,210
01008.1,2,8J62,1,X,Protein-RNA Complex,19
73255.1,2,485D,1,A+B,DNA-RNA Hybrid,16
62398.1,2,1BJ2,1,A+B,Solo RNA,40
94363.1,2,8DWJ,1,P,Protein-RNA Complex,4
41171.1,2,7YEW,1,B,Protein-RNA Complex,4
08625.1,2,8HYJ,1,P,Protein-RNA Complex,10
18592.1,2,7U5E,1,1,Protein-RNA Complex,60
93701.1,2,5V3F,1,A,Solo RNA,31
72830.1,2,5E3H,1,B+C,Protein-RNA Complex,24
91843.1,2,7ZGR,1,E,Protein-RNA Complex,3
48564.1,2,6SX2,1,C+D,Protein-RNA Complex,38
54907.1,2,1PBR,1,A,Solo RNA,27
01451.1,2,6WLJ,3,A,Solo RNA,130
46890.1,2,7XTI,1,P,Protein-RNA Complex,19
99332.1,2,7YR7,1,A,Protein-RNA Complex,118
39089.1,2,3BO1,1,D,Protein-RNA Complex,27
65802.1,2,6D2Z,1,C,Protein-RNA Complex,2
37036.1,2,2JYF,3,A,Solo RNA,43
07414.1,2,2WW9,1,E,Protein-RNA Complex,34
73803.1,2,5VOE,1,A,Protein-RNA Complex,17
10014.1,2,3QGC,1,B,Protein-RNA Complex,9
17900.1,2,3J0E,1,B,Protein-RNA Complex,17
54594.1,2,4FYD,1,E,Protein-RNA Complex,12
47370.1,2,1P6V,1,B,Protein-RNA Complex,45
36410.1,2,7LIU,1,Y,Protein-RNA Complex,14
06653.1,2,3J45,1,1,Protein-RNA Complex,63
62404.1,2,8F4O,1,B,Solo RNA,66
45851.1,2,1YTU,1,E+F,Protein-RNA Complex,10
48342.1,2,7ZNK,1,2,Protein-RNA Complex,3
35919.1,2,7XSX,1,P,Protein-RNA Complex,19
71771.1,2,4V83,1,CV,Protein-RNA Complex,35
23840.1,2,5A18,1,A,Solo RNA,32
62991.1,2,4CXG,1,b,Protein-RNA Complex,17
72186.1,2,7OQE,1,2,Protein-RNA Complex,143
67479.1,2,2J37,1,A,Protein-RNA Complex,128
13632.1,2,7ZJ4,1,E,Solo RNA,374
16304.1,2,1BZT,1,A,Solo RNA,16
57492.2,2,2D1B,1,A,Solo RNA,39
16324.1,2,2VOD,1,D,Protein-RNA Complex,7
60079.1,2,5X2G,1,B,Protein-RNA Complex,93
97537.1,2,3P4D,1,B,Solo RNA,4
16983.1,2,1J9H,1,A+B,Solo RNA,16
19209.1,2,5JAJ,1,X+Y,Protein-RNA Complex,23
66984.1,2,3IVN,1,A,Solo RNA,69
36634.1,2,2QUW,1,B,Solo RNA,57
33222.1,2,6RT5,1,A,Protein-RNA Complex,0
37848.1,2,6HTU,1,D+F,Protein-RNA Complex,38
39439.2,2,1JWC,1,A,Solo RNA,16
14959.1,2,6DCC,1,B,Protein-RNA Complex,35
58704.1,2,6O16,1,C,Protein-RNA Complex,10
10994.1,2,3J0E,1,D,Protein-RNA Complex,19
57268.1,2,7PIS,1,6,Protein-RNA Complex,76
11234.1,2,4CXG,1,c,Protein-RNA Complex,19
04218.1,2,2M4Q,6,1,Solo RNA,27
56431.1,2,6GZK,1,A,Solo RNA,48
06506.1,2,7KJT,1,A,Protein-RNA Complex,70
22108.1,2,7O7Y,1,AT,Protein-RNA Complex,60
46017.1,2,7SBA,1,Z,Protein-RNA Complex,43
00721.1,2,7UZZ,1,G,Protein-RNA Complex,30
55785.1,2,4M59,1,C,Protein-RNA Complex,14
96267.1,2,8APO,1,C1,Protein-RNA Complex,23
76225.1,2,6IFL,1,J+I,Protein-RNA Complex,70
75719.1,2,8D9K,1,C,Protein-RNA Complex,65
26264.1,2,1JID,1,B,Protein-RNA Complex,26
98171.1,2,1ICG,1,A+B,Solo RNA,16
88536.1,2,2WW9,1,G,Protein-RNA Complex,18
63046.1,2,3J0O,1,6,Protein-RNA Complex,19
31301.1,2,6XU7,1,B,Protein-RNA Complex,75
83636.2,2,5LZC,1,x,Protein-RNA Complex,48
89156.1,2,2NOQ,1,B,Protein-RNA Complex,46
41414.1,2,8HHL,1,B,Protein-RNA Complex,49
68289.1,2,4F02,1,B,Protein-RNA Complex,9
36129.1,2,2VAL,1,A+C,Solo RNA,14
65284.1,2,2ZUE,1,B,Protein-RNA Complex,77
25676.1,2,2NCR,1,A+S,Solo RNA,18
49582.1,2,4FXD,1,E,Protein-RNA Complex,8
59231.1,2,4V49,1,B9,Protein-RNA Complex,118
13922.1,2,7ZOL,1,C,Protein-RNA Complex,39
28615.1,2,8HSG,1,R,Protein-RNA Complex,12
36733.1,2,7ORK,1,P,Protein-RNA Complex,1
13754.1,2,1ZN1,1,C,Protein-RNA Complex,0
40658.1,2,2MFF,5,B,Protein-RNA Complex,21
25711.1,2,5N8L,1,B+C,Protein-RNA Complex,42
46048.1,2,6VZ5,1,7,Protein-RNA Complex,16
67819.1,2,1SLO,1,A,Solo RNA,19
95053.1,2,6OSI,1,QV,Protein-RNA Complex,68
72858.1,2,4CXG,1,Y,Protein-RNA Complex,65
57264.1,2,7L0Z,1,G,Solo RNA,69
68928.1,2,4D25,1,D,Protein-RNA Complex,6
56099.1,2,6F4H,1,B,Protein-RNA Complex,22
52143.1,2,1XSG,1,A,Solo RNA,27
39552.1,2,8D96,1,E,Protein-RNA Complex,11
67179.1,2,4Q0B,1,E,Protein-RNA Complex,9
51791.1,2,3DH3,1,F+E,Protein-RNA Complex,42
92714.1,2,4V5Z,1,BV,Protein-RNA Complex,0
70244.1,2,6RIE,1,P,Protein-RNA Complex,15
81175.1,2,1M8Y,1,D,Protein-RNA Complex,10
56732.1,2,1CQL,10,A,Solo RNA,43
60807.1,2,7UQB,1,6,Protein-RNA Complex,58
11898.1,2,5ZSD,1,D,Protein-RNA Complex,3
93451.1,2,3J0O,1,4,Protein-RNA Complex,14
54661.1,2,2GJW,1,I+J+L,Protein-RNA Complex,37
29253.1,2,6BGB,1,A+B,Solo RNA,30
14193.1,2,6V9B,1,B+D,Solo RNA,54
97569.1,2,2W89,1,A+B,Solo RNA,14
43355.1,2,4CXG,1,2,Protein-RNA Complex,50
22486.1,2,8GXB,1,B,Protein-RNA Complex,60
11428.1,2,4ANG,1,R,Protein-RNA Complex,25
24471.1,2,4V4T,1,AX,Protein-RNA Complex,6
59317.1,2,6DB9,1,R,Protein-RNA Complex,60
18260.1,2,4CXG,1,a,Protein-RNA Complex,48
07161.1,2,2WW9,1,D,Protein-RNA Complex,63
51805.1,2,7SC6,1,C,Protein-RNA Complex,169
06584.1,2,8FFR,1,X,Protein-RNA Complex,99
00854.1,2,7MKA,1,r,Protein-RNA Complex,16
32166.1,2,7X74,1,Q,Protein-RNA Complex,5
00443.1,2,7XUE,1,R,Protein-RNA Complex,85
51052.1,2,7JRT,1,A,Solo RNA,134
31084.1,2,4K4V,1,B,Protein-RNA Complex,13
82905.1,2,2GIO,1,A,Solo RNA,29
46548.1,2,2LV0,1,A,Solo RNA,24
16134.1,2,2WW9,1,F,Protein-RNA Complex,25
32983.1,2,5M5Y,1,R,Protein-RNA Complex,7
11741.1,2,7OYB,1,22,Protein-RNA Complex,1502
25458.1,2,3IWN,1,A,Protein-RNA Complex,93
13447.1,2,6H0R,1,A,Solo RNA,31
69638.1,2,3WQY,1,C,Protein-RNA Complex,75
00844.3,2,3J0E,1,C,Protein-RNA Complex,13
21658.1,2,2ZKO,1,C+D,Protein-RNA Complex,42
57105.1,2,3J0O,1,8,Protein-RNA Complex,20
95133.1,2,4V6R,1,AB,Protein-RNA Complex,67
